Country,ISO3.Code,LAT,LON,Value.Food.1992,Value.Food.1993,Value.Food.1994,Value.Food.1995,Value.Food.1996,Value.Food.1997,Value.Food.1998,Value.Food.1999,Value.Food.2000,Value.Food.2001,Value.Food.2002,Value.Food.2003,Value.Food.2004,Value.Food.2005,Value.Food.2006,Value.Food.2007,Value.Food.2008,Value.Food.2009,Value.Food.2010,Value.Food.2011,Value.Food.2012,Value.Food.2013
Northern America,CAN,57.7487688035733,-101.569822125212,2151005,2260015.44885839,2508330,2465103.11433907,2565143.17243306,2667768,2708939,2750110,2739375.38101345,2736270.14792203,2738352.67694183,2762037.58002803,2799759.83012583,2834746.30150829,2865090.30450335,2891352.76323765,2903388.17044616,2897601.71063093,2892963.99999999,2944087.5,2972848.33371032,3002655.81891915
South America,BRA,-10.8067736434989,-53.0543400357671,16954866,17014082.9145436,17351136.045934,17547036.0773952,17702974.3215341,17791686.6401939,18159502.0793829,18528336.0287433,19014885.4696407,19374121.9482381,19504785.8945329,19870935.318713,20416650.7976337,20744600.0426946,21140634.0311551,21545892.4067862,21925150.6670423,22272172.3529268,22624952.798003,22837833.7460843,22971975.8024762,23112820.6040028
Central Asia,UZB,41.7486026646522,63.2036395282317,8326887,8826126.85945147,9253339,9544955,9778338,9301333.5,8824329.00000002,8343133.93409228,8081948.31631399,8207362.91281,8506013.54060401,8753580.71114859,8806700.77092633,8757738.26865596,8697673.86826647,8723843.09146892,8824027.36303505,9030935.73952959,9085945.61481406,9066350.96686777,9083480.87616612,9140042.2049309
Eastern Europe,POL,52.1482602193319,19.3110143084487,19505160,19372230.1333485,19214143.381073,18879522.3308498,18503168,18361543,18219918,18318597.7382886,18340683.2211206,18289810,18054372.5,17818935.0000001,17819884,17551441,17282998,16890435.8390681,16626398.7452417,16514732.7859551,16468195.6410403,16403791.598316,16300146.6610428,16204117.5855487
Northern Europe,GBR,53.8833587148482,-2.65799297938563,7887756,7763783.12223276,7714933.67806777,7822124.07087343,8069846.11960874,8331941.58936535,8585906.44974675,8725418.38273213,8783343.41796407,8919935.51699691,9097404.95027434,9218273.7971199,9211867.52176461,9228488.88368845,9257241.79941238,9310699.57825485,9387452.92445188,9481191.1969685,9484672.57523748,9471101.03892983,9531509.11764276,9610378.65190399
Western Europe,NLD,52.2987003744418,5.5122171009654,13413601,13803126.5277092,14157000.2397591,14447509.3175234,14729339,14891546.5,15053754,15040042.5642301,15313309.8856007,15808961.6549989,16061704.8944727,16128304.5275894,16252073.4185339,16579338.8628428,16775911.0576288,16932053.2238548,17117655.2214219,17481503.9081519,17742223.2161453,17901911.6848099,17777276.2052112,17682405.6925285
Oceania,NZL,-43.9858177329728,170.513011374997,1581530,1650738.41560602,1730329.39520351,1787195.99749556,1810418.48263058,1797744.17289707,1789966.51495172,1770084.83059568,1756043.3409091,1774950.25485306,1829575.396563,1834848.26379394,1796323.66136709,1784374.61516093,1832147.747259,1919877.37190475,2031455.35460851,2111705.84566864,2151835.80865854,2145910.96190191,2142524.37887761,2137224.98685432
Russian Federation,RUS,61.6925647074082,99.2165267869251,19216515,19453945.0529683,19741428.2458753,19779918.9865555,19571336.9337671,19493577.5223023,19433162.0957383,19172562.2985459,19132596.557537,19270856.5229521,19345533.5693131,19143507.0197612,19052100.9891554,19057323.8221097,19027210.3444449,18870857.3808914,18735683.0622554,18760843.6497634,18806173.0862306,18920595.2036654,18864768.5406897,18819906.2136461
India,IND,22.9250064074085,79.5937037632538,54157355,54326852.3288376,55372558.3465534,56738925.3389019,58183774.260323,59872863.5231365,62304057.5893084,64770230.9811888,66137467.6326651,66800873.83482,65724770.4815703,64895814.5210887,63679587.1437127,64186906.7529739,66007907.4445506,69037911.0202186,70350351.4562077,71143384.5734519,71658033.604619,71762818.872932,73271974.2005261,74785384.9038938
Pakistan,PAK,29.9734600255474,69.4139980631813,14704089,15206229.6081405,15609611,15758690,16357292.3699184,16988973.1255957,17652919.0162092,17959405.2169109,17512153.5772672,17069838.6414436,16871297.287021,17086086.2070303,17382822.1992196,17582048,17717766.5,17853485.0000001,18652499.1128091,19268021.4978366,19701677.1461004,20064448.2605797,20402455.817685,20734562.3854805
United States of America,USA,39.5015541259931,-99.0602406280213,21679690,22474433.0079637,23094973,23421987.5,23749002,24015164.9812664,24244199.8680678,24601160.1247724,24831761.6869976,24907642.4406694,24669329.7688106,24588058.5135571,24698531.4755887,24875243.2379856,25293485.0328872,25464397.5236914,25341342.0001197,25120311.3266562,25077539.8016099,25294041.1841561,25547865.9600959,25817797.8521991
China,CPR,36.6094323800447,103.865365256658,95956180,97149497.5914237,98241343.6704975,98758924.2763271,99032005.7948312,98985255.5146755,98692893.6929345,97703483.1112464,96194710.4981939,94516803.4697663,92977800.2647582,91842414.13628,91323039.539663,91160901.3727864,90820642.6693548,89907779.258973,88310538.9999999,87590066.5,86869593.9999998,87958124.6431648,88713595.0983538,89426007.6292488
Eastern Africa,ETH,8.65399918813263,39.5512557929378,3031973,3018602.20566032,3005518.86390706,3111985.62768863,3209097.07934612,3343197.64215037,3475228.09856348,3745896.92209989,4121603.48570892,4515350.13920392,4813309.68671492,5034546.6230993,5278174.65127597,5575122.42892342,5900539.36682059,5996891.69999611,6213602.31696717,6430631.32239458,6773605.8765043,7063180.66227062,7265892.35163015,7453014.11455167
Middle Africa,AGO,-12.2915534387057,17.5029119215871,680020,624106.266607841,563332.10363369,563280.730254617,578537,643414,708291.000000001,811658.216608418,884351.871850111,933904.662304004,979007.848684993,1015840.95001627,1054531.11931059,1112546.05085007,1181896.59553051,1253874.56172883,1329866.94313371,1417117.38797622,1519340.70106005,1632348.07231559,1731698.88769753,1827273.44698545
Northern Africa,EGY,26.5066199997495,29.8444615131244,20852187,21227066.7708914,21630482.7522797,21980258.0428848,22556302.0313969,23144214.4454707,22875420.8215349,22639559.6110176,22889515.5699003,23268866.5204711,23772035.8327182,24034565.3056391,24554243.6624762,25009748.4608179,25370660.8226645,25764377.124773,26444021.1068382,27051826.7582489,27506623.4775022,27785085.191763,28021215.368926,28235897.9579925
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,2362403,2560891.45579562,2640558.33073024,2718469.0847551,2776534.02223571,2827459.94991959,2876421.43729994,2918901.04981526,2943276.87848249,2945539.97674069,2964738.53585503,2996714.77361458,3030384.71391173,3094262.2302247,3176387.17928327,3235874.2325067,3277330.79489118,3314308.99514617,3352803.32647247,3397442.18312389,3444078.92085543,3492170.4619368
Western Africa,NGA,9.54831841820997,7.99512775408979,1982556,2101204.53918074,2108112.52959254,2020660.0705167,2187027.7334948,2572902.61223762,2959719.9999497,3352973.19774065,3651693.94117275,3915930.32504318,4011744.42055648,4174517.10039692,4468026.00000001,4870374,5272722,5186349.36383238,5466487.61140158,5899720.06679931,6319748.1219289,6512353,6457158.4716438,6455768.2589566
Central America,MEX,23.9353719022448,-102.576349523987,4539571,4609383.85650465,4672910.5,4727611,4742059.14859661,4756553.42433262,4783706.48815293,4826663.11720244,4898962.56925599,4966912.19557994,5033442.5230748,5045244.20088378,5050956.56272442,5072522.5599777,5140276.4761994,5185006.77134371,5224233.88427145,5286121.56233774,5448499.2815812,5590260.06596481,5726342.95931908,5861395.70436141
Caribbean,CUB,21.6317515410252,-78.9606849097026,1233444,1213889.83742612,1219049.78961326,1241441.22029868,1254310.27266567,1298974.32874157,1338893.04593261,1390869.94422953,1421785.63810093,1477127.85742107,1492099.22127314,1478686.83336949,1435176.92305816,1437433.20856609,1463181.69470822,1496280.6250379,1480390.84077262,1481147.43938419,1463206.60008873,1467956.82911321,1473544.06027858,1486926.75441022
Eastern Asia,JPN,36.019075365944,136.881947315984,7906759,8086343.568159,8293921,8357032.44599757,8385130.12807532,8371112.28162088,8345103.44877056,8403690.22584771,8475532.5689283,8528568.61520273,8569277.51871837,8649168.88555676,8694864.91045522,8693259.05248686,8680307.00000001,8750507,8820707.00000003,9039938.28185908,9153591.35691615,9147851.50084642,9120608.24948595,9095572.48111961
Southern Asia,IRN,32.5189173176254,54.2854514968914,15270799,15696241.8023122,16248176,16311451,16374726,16985579.5,17596433,18269304,18942175,18994403.1643245,18985253.3605485,19144886.5282502,19421057.1018104,19702293.5002402,19425554.5722194,19351336.327398,19746182.7049829,20204591.7739304,20667426.6124528,21010987.1513126,21374626.1758898,21732808.5588512
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,5782211,6305916.37750862,7003560.42694685,7530049.2848121,7683915.1762052,7598615.98931202,7469036.21972066,7496985.74173968,7603406.24053948,8050514.00805236,8387822.51009865,8780672.4883383,9226141.39860181,9740327.74348113,9895025.13327901,9741970.33747935,9879962.09073804,10077919.0759651,10891939.9290503,11502261.0214731,11906990.2877805,12314018.7376739
Western Asia,IRQ,33.0368223410367,43.7569114187134,22307450,22331274.6922342,22439558.8497677,22720925.1394372,22760109.37989,23171368.2176052,23818482.3350665,24370765.9817432,24923160.8369501,25482380.5806489,25973271.734996,26227126.26286,26475673.2026545,27022983.3831233,27597487.369936,28102399.2667053,28400798.0813868,28719039.8467539,28934719.0544384,29053736.4022036,29388641.2753712,29757408.885409
Southern Europe,ITA,43.472476107586,12.2194764873985,17454768,17451065.8449744,17433233,17395559,17441698.0649898,17452316.2039308,17436099.4243831,17361149.5621772,17287259.3263276,17221415.3178709,17197899.1333531,17203795.8216196,17199758.0918884,17333590.408654,17456509.688935,17647155.2311678,17875836.9013175,18056852.9671648,18161179.9847939,18287473.8777681,18435162.3360733,18586160.9522335

